#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:48 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09046600     00060          BLUE RIVER NEAR DILLON, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
USGS	09046600	00060	18512		3	4	2016	2016	1	23
USGS	09046600	00060	18512		3	5	2016	2016	1	23
USGS	09046600	00060	18512		3	6	2016	2016	1	23
USGS	09046600	00060	18512		3	7	2016	2016	1	23
USGS	09046600	00060	18512		3	8	2016	2016	1	23
USGS	09046600	00060	18512		3	9	2016	2016	1	23
USGS	09046600	00060	18512		3	10	2016	2016	1	24
USGS	09046600	00060	18512		3	11	2016	2016	1	24
USGS	09046600	00060	18512		3	12	2016	2016	1	25
USGS	09046600	00060	18512		3	13	2016	2016	1	25
USGS	09046600	00060	18512		3	14	2016	2016	1	25
USGS	09046600	00060	18512		3	15	2016	2016	1	25
USGS	09046600	00060	18512		3	16	2016	2016	1	25
USGS	09046600	00060	18512		3	17	2016	2016	1	25
USGS	09046600	00060	18512		3	18	2016	2016	1	26
USGS	09046600	00060	18512		3	19	2016	2016	1	25
USGS	09046600	00060	18512		3	20	2016	2016	1	26
USGS	09046600	00060	18512		3	21	2016	2016	1	26
USGS	09046600	00060	18512		3	22	2016	2016	1	27
USGS	09046600	00060	18512		3	23	2016	2016	1	28
USGS	09046600	00060	18512		3	24	2016	2016	1	27
USGS	09046600	00060	18512		3	25	2016	2016	1	27
USGS	09046600	00060	18512		3	26	2016	2016	1	26
USGS	09046600	00060	18512		3	27	2016	2016	1	26
USGS	09046600	00060	18512		3	28	2016	2016	1	26
USGS	09046600	00060	18512		3	29	2016	2016	1	26
USGS	09046600	00060	18512		3	30	2016	2016	1	26
USGS	09046600	00060	18512		3	31	2016	2016	1	26
USGS	09046600	00060	18512		4	1	2016	2016	1	25
USGS	09046600	00060	18512		4	2	2016	2016	1	26
USGS	09046600	00060	18512		4	3	2016	2016	1	26
USGS	09046600	00060	18512		4	4	2016	2016	1	28
USGS	09046600	00060	18512		4	5	2016	2016	1	30
USGS	09046600	00060	18512		4	6	2016	2016	1	30
USGS	09046600	00060	18512		4	7	2016	2016	1	31
USGS	09046600	00060	18512		4	8	2016	2016	1	33
USGS	09046600	00060	18512		4	9	2016	2016	1	35
USGS	09046600	00060	18512		4	10	2016	2016	1	37
USGS	09046600	00060	18512		4	11	2016	2016	1	38
USGS	09046600	00060	18512		4	12	2016	2016	1	41
USGS	09046600	00060	18512		4	13	2016	2016	1	45
USGS	09046600	00060	18512		4	14	2016	2016	1	50
USGS	09046600	00060	18512		4	15	2016	2016	1	53
USGS	09046600	00060	18512		4	16	2016	2016	1	50
USGS	09046600	00060	18512		4	17	2016	2016	1	47
USGS	09046600	00060	18512		4	18	2016	2016	1	44
USGS	09046600	00060	18512		4	19	2016	2016	1	42
USGS	09046600	00060	18512		4	20	2016	2016	1	42
USGS	09046600	00060	18512		4	21	2016	2016	1	41
USGS	09046600	00060	18512		4	22	2016	2016	1	45
USGS	09046600	00060	18512		4	23	2016	2016	1	55
USGS	09046600	00060	18512		4	24	2016	2016	1	66
USGS	09046600	00060	18512		4	25	2016	2016	1	79
USGS	09046600	00060	18512		4	26	2016	2016	1	95
USGS	09046600	00060	18512		4	27	2016	2016	1	100
USGS	09046600	00060	18512		4	28	2016	2016	1	108
USGS	09046600	00060	18512		4	29	2016	2016	1	107
USGS	09046600	00060	18512		4	30	2016	2016	1	105
USGS	09046600	00060	18512		5	1	2016	2016	1	101
USGS	09046600	00060	18512		5	2	2016	2016	1	92
USGS	09046600	00060	18512		5	3	2016	2016	1	86
USGS	09046600	00060	18512		5	4	2016	2016	1	92
USGS	09046600	00060	18512		5	5	2016	2016	1	106
USGS	09046600	00060	18512		5	6	2016	2016	1	132
USGS	09046600	00060	18512		5	7	2016	2016	1	156
USGS	09046600	00060	18512		5	8	2016	2016	1	164
USGS	09046600	00060	18512		5	9	2016	2016	1	146
USGS	09046600	00060	18512		5	10	2016	2016	1	138
USGS	09046600	00060	18512		5	11	2016	2016	1	130
USGS	09046600	00060	18512		5	12	2016	2016	1	120
USGS	09046600	00060	18512		5	13	2016	2016	1	124
USGS	09046600	00060	18512		5	14	2016	2016	1	137
USGS	09046600	00060	18512		5	15	2016	2016	1	152
USGS	09046600	00060	18512		5	16	2016	2016	1	159
USGS	09046600	00060	18512		5	17	2016	2016	1	152
USGS	09046600	00060	18512		5	18	2016	2016	1	146
USGS	09046600	00060	18512		5	19	2016	2016	1	149
USGS	09046600	00060	18512		5	20	2016	2016	1	152
USGS	09046600	00060	18512		5	21	2016	2016	1	161
USGS	09046600	00060	18512		5	22	2016	2016	1	202
USGS	09046600	00060	18512		5	23	2016	2016	1	242
USGS	09046600	00060	18512		5	24	2016	2016	1	239
USGS	09046600	00060	18512		5	25	2016	2016	1	246
USGS	09046600	00060	18512		5	26	2016	2016	1	239
USGS	09046600	00060	18512		5	27	2016	2016	1	225
USGS	09046600	00060	18512		5	28	2016	2016	1	214
USGS	09046600	00060	18512		5	29	2016	2016	1	201
USGS	09046600	00060	18512		5	30	2016	2016	1	200
USGS	09046600	00060	18512		5	31	2016	2016	1	211
USGS	09046600	00060	18512		6	1	2016	2016	1	222
USGS	09046600	00060	18512		6	2	2016	2016	1	242
USGS	09046600	00060	18512		6	3	2016	2016	1	283
USGS	09046600	00060	18512		6	4	2016	2016	1	323
USGS	09046600	00060	18512		6	5	2016	2016	1	383
USGS	09046600	00060	18512		6	6	2016	2016	1	430
USGS	09046600	00060	18512		6	7	2016	2016	1	450
USGS	09046600	00060	18512		6	8	2016	2016	1	460
USGS	09046600	00060	18512		6	9	2016	2016	1	483
USGS	09046600	00060	18512		6	10	2016	2016	1	519
USGS	09046600	00060	18512		6	11	2016	2016	1	549
USGS	09046600	00060	18512		6	12	2016	2016	1	592
USGS	09046600	00060	18512		6	13	2016	2016	1	579
USGS	09046600	00060	18512		6	14	2016	2016	1	536
USGS	09046600	00060	18512		6	15	2016	2016	1	476
USGS	09046600	00060	18512		6	16	2016	2016	1	441
USGS	09046600	00060	18512		6	17	2016	2016	1	413
USGS	09046600	00060	18512		6	18	2016	2016	1	396
USGS	09046600	00060	18512		6	19	2016	2016	1	391
USGS	09046600	00060	18512		6	20	2016	2016	1	393
USGS	09046600	00060	18512		6	21	2016	2016	1	449
USGS	09046600	00060	18512		6	22	2016	2016	1	453
USGS	09046600	00060	18512		6	23	2016	2016	1	505
USGS	09046600	00060	18512		6	24	2016	2016	1	456
USGS	09046600	00060	18512		6	25	2016	2016	1	400
USGS	09046600	00060	18512		6	26	2016	2016	1	360
USGS	09046600	00060	18512		6	27	2016	2016	1	330
USGS	09046600	00060	18512		6	28	2016	2016	1	301
USGS	09046600	00060	18512		6	29	2016	2016	1	272
USGS	09046600	00060	18512		6	30	2016	2016	1	228
USGS	09046600	00060	18512		7	1	2016	2016	1	248
USGS	09046600	00060	18512		7	2	2016	2016	1	263
USGS	09046600	00060	18512		7	3	2016	2016	1	275
USGS	09046600	00060	18512		7	4	2016	2016	1	267
USGS	09046600	00060	18512		7	5	2016	2016	1	252
USGS	09046600	00060	18512		7	6	2016	2016	1	224
USGS	09046600	00060	18512		7	7	2016	2016	1	210
USGS	09046600	00060	18512		7	8	2016	2016	1	194
USGS	09046600	00060	18512		7	9	2016	2016	1	183
USGS	09046600	00060	18512		7	10	2016	2016	1	176
USGS	09046600	00060	18512		7	11	2016	2016	1	167
USGS	09046600	00060	18512		7	12	2016	2016	1	151
USGS	09046600	00060	18512		7	13	2016	2016	1	150
USGS	09046600	00060	18512		7	14	2016	2016	1	133
USGS	09046600	00060	18512		7	15	2016	2016	1	123
USGS	09046600	00060	18512		7	16	2016	2016	1	111
USGS	09046600	00060	18512		7	17	2016	2016	1	100
USGS	09046600	00060	18512		7	18	2016	2016	1	101
USGS	09046600	00060	18512		7	19	2016	2016	1	110
USGS	09046600	00060	18512		7	20	2016	2016	1	123
USGS	09046600	00060	18512		7	21	2016	2016	1	175
USGS	09046600	00060	18512		7	22	2016	2016	1	146
USGS	09046600	00060	18512		7	23	2016	2016	1	134
USGS	09046600	00060	18512		7	24	2016	2016	1	128
USGS	09046600	00060	18512		7	25	2016	2016	1	122
USGS	09046600	00060	18512		7	26	2016	2016	1	109
USGS	09046600	00060	18512		7	27	2016	2016	1	98
USGS	09046600	00060	18512		7	28	2016	2016	1	92
USGS	09046600	00060	18512		7	29	2016	2016	1	88
USGS	09046600	00060	18512		7	30	2016	2016	1	86
USGS	09046600	00060	18512		7	31	2016	2016	1	85
USGS	09046600	00060	18512		8	1	2016	2016	1	90
USGS	09046600	00060	18512		8	2	2016	2016	1	95
USGS	09046600	00060	18512		8	3	2016	2016	1	94
USGS	09046600	00060	18512		8	4	2016	2016	1	95
USGS	09046600	00060	18512		8	5	2016	2016	1	116
USGS	09046600	00060	18512		8	6	2016	2016	1	124
USGS	09046600	00060	18512		8	7	2016	2016	1	119
USGS	09046600	00060	18512		8	8	2016	2016	1	108
USGS	09046600	00060	18512		8	9	2016	2016	1	101
USGS	09046600	00060	18512		8	10	2016	2016	1	97
USGS	09046600	00060	18512		8	11	2016	2016	1	87
USGS	09046600	00060	18512		8	12	2016	2016	1	81
USGS	09046600	00060	18512		8	13	2016	2016	1	76
USGS	09046600	00060	18512		8	14	2016	2016	1	73
USGS	09046600	00060	18512		8	15	2016	2016	1	68
USGS	09046600	00060	18512		8	16	2016	2016	1	66
USGS	09046600	00060	18512		8	17	2016	2016	1	67
USGS	09046600	00060	18512		8	18	2016	2016	1	70
USGS	09046600	00060	18512		8	19	2016	2016	1	75
USGS	09046600	00060	18512		8	20	2016	2016	1	75
USGS	09046600	00060	18512		8	21	2016	2016	1	71
USGS	09046600	00060	18512		8	22	2016	2016	1	68
USGS	09046600	00060	18512		8	23	2016	2016	1	68
USGS	09046600	00060	18512		8	24	2016	2016	1	92
USGS	09046600	00060	18512		8	25	2016	2016	1	94
USGS	09046600	00060	18512		8	26	2016	2016	1	95
USGS	09046600	00060	18512		8	27	2016	2016	1	87
USGS	09046600	00060	18512		8	28	2016	2016	1	83
USGS	09046600	00060	18512		8	29	2016	2016	1	85
USGS	09046600	00060	18512		8	30	2016	2016	1	84
USGS	09046600	00060	18512		8	31	2016	2016	1	81
USGS	09046600	00060	18512		9	1	2016	2016	1	77
USGS	09046600	00060	18512		9	2	2016	2016	1	77
USGS	09046600	00060	18512		9	3	2016	2016	1	77
USGS	09046600	00060	18512		9	4	2016	2016	1	76
USGS	09046600	00060	18512		9	5	2016	2016	1	75
USGS	09046600	00060	18512		9	6	2016	2016	1	70
USGS	09046600	00060	18512		9	7	2016	2016	1	67
USGS	09046600	00060	18512		9	8	2016	2016	1	64
USGS	09046600	00060	18512		9	9	2016	2016	1	61
USGS	09046600	00060	18512		9	10	2016	2016	1	60
USGS	09046600	00060	18512		9	11	2016	2016	1	58
USGS	09046600	00060	18512		9	12	2016	2016	1	58
USGS	09046600	00060	18512		9	13	2016	2016	1	57
USGS	09046600	00060	18512		9	14	2016	2016	1	57
USGS	09046600	00060	18512		9	15	2016	2016	1	58
USGS	09046600	00060	18512		9	16	2016	2016	1	57
USGS	09046600	00060	18512		9	17	2016	2016	1	54
USGS	09046600	00060	18512		9	18	2016	2016	1	53
USGS	09046600	00060	18512		9	19	2016	2016	1	52
USGS	09046600	00060	18512		9	20	2016	2016	1	51
USGS	09046600	00060	18512		9	21	2016	2016	1	50
USGS	09046600	00060	18512		9	22	2016	2016	1	49
USGS	09046600	00060	18512		9	23	2016	2016	1	48
USGS	09046600	00060	18512		9	24	2016	2016	1	49
USGS	09046600	00060	18512		9	25	2016	2016	1	50
USGS	09046600	00060	18512		9	26	2016	2016	1	49
USGS	09046600	00060	18512		9	27	2016	2016	1	47
USGS	09046600	00060	18512		9	28	2016	2016	1	46
USGS	09046600	00060	18512		9	29	2016	2016	1	45
USGS	09046600	00060	18512		9	30	2016	2016	1	44
USGS	09046600	00060	18512		10	1	2017	2017	1	44
USGS	09046600	00060	18512		10	2	2017	2017	1	44
USGS	09046600	00060	18512		10	3	2017	2017	1	43
USGS	09046600	00060	18512		10	4	2017	2017	1	42
USGS	09046600	00060	18512		10	5	2017	2017	1	43
USGS	09046600	00060	18512		10	6	2017	2017	1	45
USGS	09046600	00060	18512		10	7	2017	2017	1	44
USGS	09046600	00060	18512		10	8	2017	2017	1	43
USGS	09046600	00060	18512		10	9	2017	2017	1	43
USGS	09046600	00060	18512		10	10	2017	2017	1	42
USGS	09046600	00060	18512		10	11	2017	2017	1	43
USGS	09046600	00060	18512		10	12	2017	2017	1	43
USGS	09046600	00060	18512		10	13	2017	2017	1	42
USGS	09046600	00060	18512		10	14	2017	2017	1	40
USGS	09046600	00060	18512		10	15	2017	2017	1	40
USGS	09046600	00060	18512		10	16	2017	2017	1	39
USGS	09046600	00060	18512		10	17	2017	2017	1	38
USGS	09046600	00060	18512		10	18	2017	2017	1	37
USGS	09046600	00060	18512		10	19	2017	2017	1	38
USGS	09046600	00060	18512		10	20	2017	2017	1	35
USGS	09046600	00060	18512		10	21	2017	2017	1	36
USGS	09046600	00060	18512		10	22	2017	2017	1	36
USGS	09046600	00060	18512		10	23	2017	2017	1	36
USGS	09046600	00060	18512		10	24	2017	2017	1	36
USGS	09046600	00060	18512		10	25	2017	2017	1	37
USGS	09046600	00060	18512		10	26	2017	2017	1	37
USGS	09046600	00060	18512		10	27	2017	2017	1	37
USGS	09046600	00060	18512		10	28	2017	2017	1	37
USGS	09046600	00060	18512		10	29	2017	2017	1	36
USGS	09046600	00060	18512		10	30	2017	2017	1	35
USGS	09046600	00060	18512		10	31	2017	2017	1	35
USGS	09046600	00060	18512		11	1	2017	2017	1	35
USGS	09046600	00060	18512		11	2	2017	2017	1	34
USGS	09046600	00060	18512		11	3	2017	2017	1	33
USGS	09046600	00060	18512		11	4	2017	2017	1	32
USGS	09046600	00060	18512		11	5	2017	2017	1	33
USGS	09046600	00060	18512		11	6	2017	2017	1	35
USGS	09046600	00060	18512		11	7	2017	2017	1	34
USGS	09046600	00060	18512		11	8	2017	2017	1	32
USGS	09046600	00060	18512		11	9	2017	2017	1	32
USGS	09046600	00060	18512		11	10	2017	2017	1	34
USGS	09046600	00060	18512		11	11	2017	2017	1	32
USGS	09046600	00060	18512		11	12	2017	2017	1	31
USGS	09046600	00060	18512		11	13	2017	2017	1	31
USGS	09046600	00060	18512		11	14	2017	2017	1	30
USGS	09046600	00060	18512		11	15	2017	2017	1	32
USGS	09046600	00060	18512		11	16	2017	2017	1	31
USGS	09046600	00060	18512		11	17	2017	2017	1	29
USGS	09046600	00060	18512		11	18	2017	2017	1	27
USGS	09046600	00060	18512		11	19	2017	2017	1	28
USGS	09046600	00060	18512		11	20	2017	2017	1	32
USGS	09046600	00060	18512		11	21	2017	2017	1	34
USGS	09046600	00060	18512		11	22	2017	2017	1	33
USGS	09046600	00060	18512		11	23	2017	2017	1	30
USGS	09046600	00060	18512		11	24	2017	2017	1	29
USGS	09046600	00060	18512		11	25	2017	2017	1	27
USGS	09046600	00060	18512		11	26	2017	2017	1	27
USGS	09046600	00060	18512		11	27	2017	2017	1	27
USGS	09046600	00060	18512		11	28	2017	2017	1	26
USGS	09046600	00060	18512		11	29	2017	2017	1	25
USGS	09046600	00060	18512		11	30	2017	2017	1	23
USGS	09046600	00060	18512		12	1	2017	2017	1	23
USGS	09046600	00060	18512		12	2	2017	2017	1	23
USGS	09046600	00060	18512		12	3	2017	2017	1	23
USGS	09046600	00060	18512		12	4	2017	2017	1	23
USGS	09046600	00060	18512		12	5	2017	2017	1	24
USGS	09046600	00060	18512		12	6	2017	2017	1	24
USGS	09046600	00060	18512		12	7	2017	2017	1	24
USGS	09046600	00060	18512		12	8	2017	2017	1	23
USGS	09046600	00060	18512		12	9	2017	2017	1	23
USGS	09046600	00060	18512		12	10	2017	2017	1	24
USGS	09046600	00060	18512		12	11	2017	2017	1	26
USGS	09046600	00060	18512		12	12	2017	2017	1	27
USGS	09046600	00060	18512		12	13	2017	2017	1	26
USGS	09046600	00060	18512		12	14	2017	2017	1	26
USGS	09046600	00060	18512		12	15	2017	2017	1	26
USGS	09046600	00060	18512		12	16	2017	2017	1	26
USGS	09046600	00060	18512		12	17	2017	2017	1	26
USGS	09046600	00060	18512		12	18	2017	2017	1	26
USGS	09046600	00060	18512		12	19	2017	2017	1	26
USGS	09046600	00060	18512		12	20	2017	2017	1	26
USGS	09046600	00060	18512		12	21	2017	2017	1	25
USGS	09046600	00060	18512		12	22	2017	2017	1	25
USGS	09046600	00060	18512		12	23	2017	2017	1	25
USGS	09046600	00060	18512		12	24	2017	2017	1	24
USGS	09046600	00060	18512		12	25	2017	2017	1	24
USGS	09046600	00060	18512		12	26	2017	2017	1	23
USGS	09046600	00060	18512		12	27	2017	2017	1	23
USGS	09046600	00060	18512		12	28	2017	2017	1	23
USGS	09046600	00060	18512		12	29	2017	2017	1	22
USGS	09046600	00060	18512		12	30	2017	2017	1	22
USGS	09046600	00060	18512		12	31	2017	2017	1	22
